team_long_name,player_name,height,weight,date,away_team_goal,home_team_goal,country_id,potential,crossing,finishing,short_passing,dribbling,ball_control,acceleration,sprint_speed,stamina,score
KRC Genk,Aaron Appindangoye,182.88,187.0,2016-02-18 00:00:00,1.0,1.0,Belgium,-0.3740697377690869,-0.3538295534544572,-0.3117119894503498,-0.1009531109255394,-0.4617614990034995,-0.9490053373391584,-0.5912845450625986,-0.3230375080132396,-0.992635366797504,2
Beerschot AC,Aaron Cresswell,170.18,146.0,2015-11-19 00:00:00,0.0,0.0,Belgium,-0.3740697377690869,-0.3538295534544572,-0.3117119894503498,-0.1009531109255394,-0.4617614990034995,-0.9490053373391584,-0.5912845450625986,-0.3230375080132396,-0.992635366797504,2
SV Zulte-Waregem,Aaron Doran,170.18,163.0,2015-09-21 00:00:00,3.0,0.0,Belgium,-1.1342649458112055,-0.3538295534544572,-0.3117119894503498,-0.1009531109255394,-0.4617614990034995,-0.9490053373391584,-0.5912845450625986,-0.3230375080132396,-0.992635366797504,1
Sporting Lokeren,Aaron Galindo,182.88,198.0,2015-03-20 00:00:00,0.0,5.0,Belgium,-1.2863039874196294,-0.4119593926659461,-0.3643564587060254,-0.1715658856373789,-0.5182450240376621,-1.014959423502743,-0.5912845450625986,-0.3230375080132396,-0.992635366797504,1
KSV Cercle Brugge,Aaron Hughes,182.88,154.0,2007-02-22 00:00:00,3.0,1.0,Belgium,-1.2863039874196294,-0.4119593926659461,-0.3643564587060254,-0.1715658856373789,-0.5182450240376621,-1.014959423502743,-0.5912845450625986,-0.3230375080132396,-0.992635366797504,1
RSC Anderlecht,Aaron Hunt,182.88,161.0,2016-04-21 00:00:00,1.0,1.0,Belgium,0.3861254702730318,1.4481954621017017,0.1620882338507301,0.6051746361928556,0.7808760517480781,0.5019845582597078,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
KAA Gent,Aaron Kuhl,172.72,146.0,2016-04-07 00:00:00,2.0,2.0,Belgium,0.3861254702730318,1.4481954621017017,0.1620882338507301,0.6051746361928556,0.7808760517480781,0.5019845582597078,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
RAEC Mons,Aaron Lennon,165.1,139.0,2016-01-07 00:00:00,2.0,1.0,Belgium,0.2340864286646081,1.3900656228902126,0.1094437645950546,0.5345618614810161,0.6679090016797529,0.4360304720961229,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
FCV Dender EH,Aaron Lennox,190.5,181.0,2015-12-24 00:00:00,0.0,1.0,Belgium,0.2340864286646081,1.3900656228902126,0.056799295339379,0.5345618614810161,0.6679090016797529,0.4360304720961229,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
Standard de Liège,Aaron Meijers,175.26,170.0,2015-12-17 00:00:00,1.0,4.0,Belgium,0.2340864286646081,1.3900656228902126,0.056799295339379,0.5345618614810161,0.6679090016797529,0.4360304720961229,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
KV Mechelen,Aaron Mokoena,182.88,181.0,2015-10-16 00:00:00,2.0,1.0,Belgium,0.5381645118814556,1.3900656228902126,0.056799295339379,0.5345618614810161,0.6679090016797529,0.4360304720961229,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
Club Brugge KV,Aaron Mooy,175.26,150.0,2015-09-25 00:00:00,2.0,0.0,Belgium,0.6902035534898794,1.3900656228902126,0.056799295339379,0.5345618614810161,0.6679090016797529,0.4360304720961229,0.9526688914279298,0.7932923593716877,0.9106357677956716,2
KSV Roeselare,Aaron Muirhead,187.96,168.0,2015-09-21 00:00:00,0.0,0.0,Belgium,0.5381645118814556,1.3900656228902126,0.056799295339379,0.5345618614810161,0.4419749015431023,0.3041222997689533,0.8754712196034034,0.7932923593716877,0.9106357677956716,2
KV Kortrijk,Aaron Niguez,170.18,143.0,2015-01-09 00:00:00,2.0,2.0,Belgium,0.2340864286646081,1.3319357836787236,0.0041548260837035,0.4639490867691766,0.3854913765089398,0.2381682136053685,0.8754712196034034,1.1122437500530955,0.9106357677956716,2
Tubize,Aaron Ramsey,177.8,154.0,2014-12-05 00:00:00,2.0,1.0,Belgium,0.5381645118814556,1.3319357836787236,0.0041548260837035,0.4639490867691766,0.3854913765089398,0.2381682136053685,0.8754712196034034,1.1122437500530955,0.9106357677956716,2
Royal Excel Mouscron,Aaron Splaine,172.72,163.0,2014-11-07 00:00:00,1.0,0.0,Belgium,0.5381645118814556,1.3319357836787236,0.0041548260837035,0.4639490867691766,0.3854913765089398,0.2381682136053685,0.8754712196034034,1.1122437500530955,0.9106357677956716,2
KVC Westerlo,Aaron Taylor-Sinclair,182.88,176.0,2014-09-18 00:00:00,3.0,1.0,Belgium,0.5381645118814556,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.1722141274417836,0.8754712196034034,1.1122437500530955,0.9106357677956716,2
Sporting Charleroi,Aaron Wilbraham,190.5,159.0,2014-05-02 00:00:00,3.0,1.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.1722141274417836,1.2614595787260354,1.1122437500530955,0.9867666131793984,2
Sint-Truidense VV,Aatif Chahechouhe,175.26,150.0,2014-04-04 00:00:00,3.0,2.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.1722141274417836,1.2614595787260354,1.1122437500530955,0.9867666131793984,2
Lierse SK,Abasse Ba,187.96,185.0,2014-03-14 00:00:00,0.0,0.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.1062600412781988,1.2614595787260354,1.1122437500530955,0.9106357677956716,2
KAS Eupen,Abdelaziz Barrada,177.8,161.0,2013-12-13 00:00:00,2.0,2.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.2381682136053685,1.2614595787260354,1.1122437500530955,0.9106357677956716,2
Oud-Heverlee Leuven,Abdelfettah Boukhriss,185.42,161.0,2013-11-08 00:00:00,0.0,2.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.3227235373454976,0.3854913765089398,0.2381682136053685,1.2614595787260354,1.1122437500530955,0.9106357677956716,2
Waasland-Beveren,Abdelhamid El Kaoutari,180.34,161.0,2013-10-04 00:00:00,1.0,1.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3854913765089398,0.2381682136053685,1.2614595787260354,1.1122437500530955,0.7583740770282174,2
KV Oostende,Abdelkader Ghezzal,182.88,172.0,2013-09-20 00:00:00,2.0,1.0,Belgium,0.8422425950983031,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3854913765089398,0.2381682136053685,1.2614595787260354,1.1122437500530955,0.6822432316444904,2
Royal Excel Mouscron,Abdellah Zoubir,180.34,161.0,2013-05-03 00:00:00,0.0,0.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3290078514747771,0.1062600412781988,1.2614595787260354,1.0325059023827436,0.5299815408770363,2
Manchester United,Abdelmajid Oulmers,172.72,143.0,2013-03-22 00:00:00,0.0,1.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3290078514747771,0.1062600412781988,1.2614595787260354,1.0325059023827436,0.5299815408770363,2
Newcastle United,Abdelmalek Cherrad,185.42,165.0,2013-03-15 00:00:00,3.0,1.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3290078514747771,0.1062600412781988,1.2614595787260354,1.0325059023827436,0.5299815408770363,2
Arsenal,Abdelmalek El Hasnaoui,180.34,159.0,2013-02-22 00:00:00,1.0,1.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3290078514747771,0.1062600412781988,1.3386572505505618,1.0325059023827436,0.5299815408770363,2
West Bromwich Albion,Abdelouahed Chakhsi,182.88,170.0,2013-02-15 00:00:00,1.0,1.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.3290078514747771,0.1062600412781988,1.3386572505505618,1.0325059023827436,0.5299815408770363,2
